Week of,Thousand_Barrels
6/13/2003,20589
6/6/2003,19849
5/30/2003,19977
5/23/2003,20598
5/16/2003,19895
5/9/2003,19854
5/2/2003,20701
4/25/2003,19396
4/18/2003,19459
4/11/2003,19698
4/4/2003,20767
3/28/2003,19831
3/21/2003,20164
3/14/2003,20301
3/7/2003,19887
2/28/2003,20078
2/21/2003,20064
2/14/2003,20353
2/7/2003,19151
1/31/2003,20819
1/24/2003,20281
1/17/2003,20105
1/10/2003,19263
1/3/2003,19780
12/27/2002,20434
12/20/2002,20211
12/13/2002,19950
12/6/2002,19508
11/29/2002,20681
11/22/2002,20498
11/15/2002,19611
11/8/2002,19214
11/1/2002,19796
10/25/2002,19990
10/18/2002,19043
10/11/2002,18804
10/4/2002,19711
9/27/2002,19224
9/20/2002,19360
9/13/2002,19512
9/6/2002,19209
8/30/2002,20015
8/23/2002,20328
8/16/2002,20181
8/9/2002,20357
8/2/2002,20290
7/26/2002,20066
7/19/2002,19620
7/12/2002,19013
7/5/2002,19433
6/28/2002,20191
6/21/2002,20108
6/14/2002,18953
6/7/2002,19338
5/31/2002,19587
5/24/2002,19353
5/17/2002,19875
5/10/2002,19236
5/3/2002,19368
4/26/2002,19472
4/19/2002,19153
4/12/2002,19727
4/5/2002,19517
3/29/2002,19220
3/22/2002,19573
3/15/2002,18856
3/8/2002,18459
3/1/2002,19855
2/22/2002,19336
2/15/2002,19782
2/8/2002,18943
2/1/2002,19242
1/25/2002,18899
1/18/2002,19007
1/11/2002,19630
1/4/2002,18954
12/28/2001,19609
12/21/2001,20516
12/14/2001,20468
12/7/2001,19411
11/30/2001,19224
11/23/2001,19041
11/16/2001,19622
11/9/2001,19126
11/2/2001,20490
10/26/2001,20172
10/19/2001,19889
10/12/2001,19607
10/5/2001,19431
9/28/2001,19549
9/21/2001,17889
9/14/2001,19069
9/7/2001,19522
8/31/2001,19955
8/24/2001,20079
8/17/2001,20294
8/10/2001,19943
8/3/2001,19187
7/27/2001,20175
7/20/2001,19948
7/13/2001,19857
7/6/2001,19060
6/29/2001,20059
6/22/2001,19651
6/15/2001,18310
6/8/2001,19138
6/1/2001,18451
5/25/2001,18786
5/18/2001,19906
5/11/2001,18694
5/4/2001,20180
4/27/2001,18820
4/20/2001,18880
4/13/2001,19025
4/6/2001,18541
3/30/2001,19067
3/23/2001,19288
3/16/2001,19814
3/9/2001,19803
3/2/2001,20768
2/23/2001,20161
2/16/2001,19025
2/9/2001,20001
2/2/2001,20342
1/26/2001,20248
1/19/2001,19414
1/12/2001,20817
1/5/2001,21098
12/29/2000,21494
12/22/2000,20080
12/15/2000,20611
12/8/2000,20631
12/1/2000,19111
11/24/2000,19243
11/17/2000,20063
11/10/2000,19871
11/3/2000,20499
10/27/2000,20217
10/20/2000,20436
10/13/2000,20289
10/6/2000,18974
9/29/2000,19558
9/22/2000,20318
9/15/2000,20133
9/8/2000,20320
9/1/2000,19776
8/25/2000,20226
8/18/2000,19394
8/11/2000,20464
8/4/2000,20341
7/28/2000,20143
7/21/2000,19268
7/14/2000,20022
7/7/2000,19135
6/30/2000,19746
6/23/2000,19740
6/16/2000,19965
6/9/2000,19345
6/2/2000,18817
5/26/2000,19458
5/19/2000,19990
5/12/2000,18932
5/5/2000,19378
4/28/2000,18842
4/21/2000,18735
4/14/2000,19672
4/7/2000,18556
3/31/2000,18862
3/24/2000,19284
3/17/2000,19022
3/10/2000,19995
3/3/2000,17933
2/25/2000,19169
2/18/2000,19438
2/11/2000,19206
2/4/2000,19123
1/28/2000,19899
1/21/2000,19116
1/14/2000,18222
1/7/2000,19363
12/31/1999,20293
12/24/1999,20288
12/17/1999,19124
12/10/1999,19723
12/3/1999,19552
11/26/1999,19115
11/19/1999,19799
11/12/1999,20383
11/5/1999,19974
10/29/1999,19803
10/22/1999,19783
10/15/1999,19980
10/8/1999,19488
10/1/1999,19646
9/24/1999,19037
9/17/1999,19267
9/10/1999,19344
9/3/1999,19853
8/27/1999,19603
8/20/1999,19443
8/13/1999,19701
8/6/1999,19870
7/30/1999,19483
7/23/1999,19670
7/16/1999,19338
7/9/1999,17972
7/2/1999,19416
6/25/1999,19539
6/18/1999,19484
6/11/1999,19103
6/4/1999,19246
5/28/1999,18889
5/21/1999,18721
5/14/1999,17424
5/7/1999,18527
4/30/1999,18025
4/23/1999,18792
4/16/1999,19521
4/9/1999,17225
4/2/1999,18149
3/26/1999,19191
3/19/1999,18730
3/12/1999,19049
3/5/1999,19172
2/26/1999,19730
2/19/1999,18379
2/12/1999,19402
2/5/1999,18492
1/29/1999,18268
1/22/1999,19266
1/15/1999,19284
1/8/1999,18181
1/1/1999,19550
